Date,Actual,Goal
May 31 2022,0,8000
Jun 1 2022,0,8000
Jun 2 2022,0,8000
Jun 3 2022,1102,8000
Jun 4 2022,1254,8000
Jun 5 2022,1792,8000
Jun 6 2022,3723,8000
Jun 7 2022,1540,8000
Jun 8 2022,4388,8000
Jun 9 2022,0,8000
Jun 10 2022,5413,8000
Jun 11 2022,4027,8000
Jun 12 2022,3970,8000
Jun 13 2022,8372,8000
Jun 14 2022,6329,8000
Jun 15 2022,7125,8000
Jun 16 2022,3445,8000
Jun 17 2022,2866,8000
Jun 18 2022,2119,8000
Jun 19 2022,2691,8000
Jun 20 2022,8279,8000
Jun 21 2022,1863,8000
Jun 22 2022,3477,8000
Jun 23 2022,4863,8000
Jun 24 2022,4005,8000
Jun 25 2022,6105,8000
Jun 26 2022,5744,8000
Jun 27 2022,7564,8000
Jun 28 2022,7225,8000
Jun 29 2022,8819,8000
Jun 30 2022,5082,8000
Jul 1 2022,6819,8000
Jul 2 2022,5603,8000
Jul 3 2022,3336,8000
Jul 4 2022,8627,8000
Jul 5 2022,3148,8000
Jul 6 2022,3874,8000
Jul 7 2022,7867,8000
Jul 8 2022,5710,8000
Jul 9 2022,6174,8000
Jul 10 2022,7248,8000
Jul 11 2022,9562,8000
Jul 12 2022,2109,8000
Jul 13 2022,3602,8000
Jul 14 2022,5306,8000
Jul 15 2022,2850,8000
Jul 16 2022,6046,8000
Jul 17 2022,7494,8000
Jul 18 2022,9815,8000
Jul 19 2022,4395,8000
Jul 20 2022,7607,8000
Jul 21 2022,5318,8000
Jul 22 2022,3221,8000
Jul 23 2022,8151,8000
Jul 24 2022,3723,8000
Jul 25 2022,11480,8000
Jul 26 2022,6663,8000
Jul 27 2022,3685,8000
Jul 28 2022,3452,8000
Jul 29 2022,3739,8000
Jul 30 2022,2380,8000
Jul 31 2022,3561,8000
Aug 1 2022,9349,8000
Aug 2 2022,6159,8000
Aug 3 2022,6530,8000
Aug 4 2022,3517,8000
Aug 5 2022,3104,8000
Aug 6 2022,3169,8000
Aug 7 2022,3029,8000
Aug 8 2022,8572,8000
Aug 9 2022,4747,8000
Aug 10 2022,8983,8000
Aug 11 2022,3898,8000
Aug 12 2022,4260,8000
Aug 13 2022,8652,8000
Aug 14 2022,3673,8000
Aug 15 2022,4426,8000
Aug 16 2022,5324,8000
Aug 17 2022,4718,8000
Aug 18 2022,12084,8000
Aug 19 2022,5250,8000
Aug 20 2022,5347,8000
Aug 21 2022,4404,8000
Aug 22 2022,5721,8000
Aug 23 2022,9154,8000
Aug 24 2022,4310,8000
Aug 25 2022,0,8000
Aug 26 2022,4048,8000
Aug 27 2022,0,8000
Aug 28 2022,6917,8000
Aug 29 2022,5071,8000
Aug 30 2022,3893,8000
Aug 31 2022,5176,8000
Sep 1 2022,2425,8000
Sep 2 2022,8327,8000
Sep 3 2022,3122,8000
Sep 4 2022,8256,8000
Sep 5 2022,7863,8000
Sep 6 2022,7586,8000
Sep 7 2022,5364,8000
Sep 8 2022,5735,8000
Sep 9 2022,12348,8000
Sep 10 2022,3734,8000
Sep 11 2022,0,8000
Sep 12 2022,5209,8000
Sep 13 2022,6472,8000
Sep 14 2022,5028,8000
Sep 15 2022,4584,8000
Sep 16 2022,8159,8000
Sep 17 2022,7570,8000
Sep 18 2022,4649,8000
Sep 19 2022,2601,8000
Sep 20 2022,5278,8000
Sep 21 2022,7984,8000
Sep 22 2022,6401,8000
Sep 23 2022,9236,8000
Sep 24 2022,2674,8000
Sep 25 2022,2628,8000
Sep 26 2022,9773,8000
Sep 27 2022,7627,8000
Sep 28 2022,3634,8000
Sep 29 2022,9938,8000
Sep 30 2022,11797,8000
Oct 1 2022,0,8000
Oct 2 2022,8976,8000
Oct 3 2022,8323,8000
Oct 4 2022,9375,8000
Oct 5 2022,5989,8000
Oct 6 2022,3634,8000
Oct 7 2022,16035,8000
Oct 8 2022,4601,8000
Oct 9 2022,4186,8000
Oct 10 2022,7434,8000
Oct 11 2022,8381,8000
Oct 12 2022,5866,8000
Oct 13 2022,3111,8000
Oct 14 2022,11902,8000
Oct 15 2022,4137,8000
Oct 16 2022,3445,8000
Oct 17 2022,4581,8000
Oct 18 2022,4865,8000
Oct 19 2022,5900,8000
Oct 20 2022,5357,8000
Oct 21 2022,5780,8000
Oct 22 2022,3423,8000
Oct 23 2022,316,8000
Oct 24 2022,1322,8000
Oct 25 2022,1946,8000
Oct 26 2022,1786,8000
Oct 27 2022,3765,8000
Oct 28 2022,6460,8000
Oct 29 2022,2776,8000
Oct 30 2022,4112,8000
Oct 31 2022,4628,8000
Nov 1 2022,5228,8000
Nov 2 2022,3676,8000
Nov 3 2022,4379,8000
Nov 4 2022,6568,8000
Nov 5 2022,6982,8000
Nov 6 2022,5492,8000
Nov 7 2022,5623,8000
Nov 8 2022,5937,8000
Nov 9 2022,6729,8000
Nov 10 2022,3923,8000
Nov 11 2022,5641,8000
Nov 12 2022,2384,8000
Nov 13 2022,2937,8000
Nov 14 2022,9680,8000
Nov 15 2022,7150,8000
Nov 16 2022,5413,8000
Nov 17 2022,6068,8000
Nov 18 2022,5553,8000
Nov 19 2022,0,8000
Nov 20 2022,7029,8000
Nov 21 2022,8657,8000
Nov 22 2022,7346,8000
Nov 23 2022,7965,8000
Nov 24 2022,6515,8000
Nov 25 2022,3385,8000
Nov 26 2022,2860,8000
Nov 27 2022,7113,8000
Nov 28 2022,2532,8000
Nov 29 2022,8368,8000
Nov 30 2022,5391,8000
Dec 1 2022,3611,8000
Dec 2 2022,4927,8000
Dec 3 2022,7248,8000
Dec 4 2022,0,8000
Dec 5 2022,3146,8000
Dec 6 2022,6011,8000
Dec 7 2022,3368,8000
Dec 8 2022,8016,8000
Dec 9 2022,11002,8000
Dec 10 2022,5129,8000
Dec 11 2022,9607,8000
Dec 12 2022,7775,8000
Dec 13 2022,15390,8000
Dec 14 2022,6719,8000
Dec 15 2022,4342,8000
Dec 16 2022,4403,8000
Dec 17 2022,6295,8000
Dec 18 2022,5005,8000
Dec 19 2022,8027,8000
Dec 20 2022,9160,8000
Dec 21 2022,8657,8000
Dec 22 2022,3587,8000
Dec 23 2022,9886,8000
Dec 24 2022,2909,8000
Dec 25 2022,6220,8000
Dec 26 2022,1664,8000
Dec 27 2022,0,8000
Dec 28 2022,1011,8000
Dec 29 2022,2038,8000
Dec 30 2022,6592,8000
Dec 31 2022,5510,8000
Jan 1 2023,4479,8000
Jan 2 2023,7924,8000
Jan 3 2023,4414,8000
Jan 4 2023,8907,8000
Jan 5 2023,6316,8000
Jan 6 2023,2643,8000
Jan 7 2023,4562,8000
Jan 8 2023,3480,8000
Jan 9 2023,5709,8000
Jan 10 2023,5837,8000
Jan 11 2023,5671,8000
Jan 12 2023,9803,8000
Jan 13 2023,5127,8000
Jan 14 2023,0,8000
Jan 15 2023,4137,8000
Jan 16 2023,7403,8000
Jan 17 2023,5709,8000
Jan 18 2023,8343,8000
Jan 19 2023,10945,8000
Jan 20 2023,4906,8000
Jan 21 2023,2232,8000
Jan 22 2023,7114,8000
Jan 23 2023,6138,8000
Jan 24 2023,4845,8000
Jan 25 2023,10218,8000
Jan 26 2023,4920,8000
Jan 27 2023,4237,8000
Jan 28 2023,0,8000
Jan 29 2023,3554,8000
Jan 30 2023,9995,8000
Jan 31 2023,4406,8000
Feb 1 2023,5046,8000
Feb 2 2023,4969,8000
Feb 3 2023,4979,8000
Feb 4 2023,1441,8000
Feb 5 2023,3025,8000
Feb 6 2023,3956,8000
Feb 7 2023,5417,8000
Feb 8 2023,3397,8000
Feb 9 2023,15341,8000
Feb 10 2023,8071,8000
Feb 11 2023,1392,8000
Feb 12 2023,5768,8000
Feb 13 2023,7843,8000
Feb 14 2023,5547,8000
Feb 15 2023,10868,8000
Feb 16 2023,6117,8000
Feb 17 2023,4928,8000
Feb 18 2023,3796,8000
Feb 19 2023,2078,8000
Feb 20 2023,9668,8000
Feb 21 2023,10153,8000
Feb 22 2023,5436,8000
Feb 23 2023,2183,8000
Feb 24 2023,8227,8000
Feb 25 2023,2416,8000
Feb 26 2023,2376,8000
Feb 27 2023,7231,8000
Feb 28 2023,6937,8000
Mar 1 2023,5748,8000
Mar 2 2023,7358,8000
Mar 3 2023,6591,8000
Mar 4 2023,2001,8000
Mar 5 2023,4090,8000
Mar 6 2023,4152,8000
Mar 7 2023,7521,8000
Mar 8 2023,9689,8000
Mar 9 2023,4166,8000
Mar 10 2023,5735,8000
Mar 11 2023,2007,8000
Mar 12 2023,1740,8000
Mar 13 2023,5156,8000
Mar 14 2023,9179,8000
Mar 15 2023,4111,8000
Mar 16 2023,6143,8000
Mar 17 2023,6073,8000
Mar 18 2023,3616,8000
Mar 19 2023,3361,8000
Mar 20 2023,10772,8000
Mar 21 2023,5967,8000
Mar 22 2023,11088,8000
Mar 23 2023,4355,8000
Mar 24 2023,13483,8000
Mar 25 2023,10089,8000
Mar 26 2023,13556,8000
Mar 27 2023,12984,8000
Mar 28 2023,15553,8000
Mar 29 2023,8111,8000
Mar 30 2023,16611,8000
Mar 31 2023,14905,8000
Apr 1 2023,10345,8000
Apr 2 2023,7534,8000
Apr 3 2023,6732,8000
Apr 4 2023,7304,8000
Apr 5 2023,5332,8000
Apr 6 2023,9763,8000
Apr 7 2023,3255,8000
Apr 8 2023,4697,8000
Apr 9 2023,2697,8000
Apr 10 2023,6700,8000
Apr 11 2023,5418,8000
Apr 12 2023,5214,8000
Apr 13 2023,2251,8000
Apr 14 2023,6167,8000
Apr 15 2023,1168,8000
Apr 16 2023,4823,8000
Apr 17 2023,5270,8000
Apr 18 2023,4860,8000
Apr 19 2023,2806,8000
Apr 20 2023,6555,8000
Apr 21 2023,5252,8000
Apr 22 2023,4019,8000
Apr 23 2023,2533,8000
Apr 24 2023,6526,8000
Apr 25 2023,5981,8000
Apr 26 2023,7114,8000
Apr 27 2023,7375,6500
Apr 28 2023,5266,6500
Apr 29 2023,3489,6500
Apr 30 2023,1879,6500
May 1 2023,4947,6500
May 2 2023,6252,6500
May 3 2023,6601,6500
May 4 2023,7031,6500
May 5 2023,2173,6500
May 6 2023,5839,6500
May 7 2023,3363,6500
May 8 2023,7263,6500
May 9 2023,4539,6500
May 10 2023,7829,6500
May 11 2023,8100,6500
May 12 2023,7985,6500
May 13 2023,4994,6500
May 14 2023,1393,6500
May 15 2023,6218,6500
May 16 2023,6427,6500
May 17 2023,7453,6500
May 18 2023,6377,6500
May 19 2023,5817,6500
May 20 2023,2683,6500
May 21 2023,2532,6500
May 22 2023,4867,6500
May 23 2023,5695,6500
May 24 2023,11038,6500
May 25 2023,5143,6500
May 26 2023,6019,6500
May 27 2023,3263,6500
May 28 2023,6504,6500
May 29 2023,4962,6500
May 30 2023,5174,6500
May 31 2023,4099,6500
Jun 1 2023,6488,6500
Jun 2 2023,3647,6500
Jun 3 2023,1406,6500
Jun 4 2023,3878,6500
Jun 5 2023,8869,6500
Jun 6 2023,3241,6500
Jun 7 2023,4030,6500
Jun 8 2023,5973,6500
Jun 9 2023,5843,6500
Jun 10 2023,3022,6500
Jun 11 2023,3825,6500
Jun 12 2023,5266,6500
Jun 13 2023,6074,6500
Jun 14 2023,5511,6500
Jun 15 2023,7763,6500
Jun 16 2023,3595,6500
Jun 17 2023,6315,6500
Jun 18 2023,643,6500
Jun 19 2023,9806,6500
Jun 20 2023,6746,6500
Jun 21 2023,5668,6500
Jun 22 2023,4950,6500
Jun 23 2023,5343,6500
Jun 24 2023,1839,6500
Jun 25 2023,2664,6500
Jun 26 2023,2211,6500
Jun 27 2023,2365,6500
Jun 28 2023,7909,6500
Jun 29 2023,12829,6500
Jun 30 2023,6717,6500
Jul 1 2023,9217,6500
Jul 2 2023,6538,6500
Jul 3 2023,8618,6500
Jul 4 2023,7081,6500
Jul 5 2023,4679,6500
Jul 6 2023,9253,6500
Jul 7 2023,7201,6500
Jul 8 2023,6525,6500
Jul 9 2023,3629,6500
Jul 10 2023,6555,6500
Jul 11 2023,7665,6500
Jul 12 2023,4289,6500
Jul 13 2023,11093,6500
Jul 14 2023,8706,6500
Jul 15 2023,3151,6500
Jul 16 2023,6908,6500
Jul 17 2023,11524,6500
Jul 18 2023,7049,6500
Jul 19 2023,10224,6500
Jul 20 2023,8393,6500
Jul 21 2023,5954,6500
Jul 22 2023,9550,6500
Jul 23 2023,5157,6500
Jul 24 2023,8923,6500
